2020-03-21 14:42:55 INFO  [springAppName_IS_UNDEFINED,,,] main org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$519a6aaf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] Thread-38 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap Eureka data center value eureka.datacenter is not set, defaulting to default
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] Thread-38 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap Eureka environment value eureka.environment is not set, defaulting to test
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] main org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-8001"]
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] Thread-38 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap isAws returned false
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] Thread-38 org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap Initialized server context
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] Thread-38 com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl Got 1 instances from neighboring DS node
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] Thread-38 com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl Renew threshold is: 1
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] Thread-38 com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl Changing status to UP
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] Thread-38 org.springframework.cloud.netflix.eureka.server.EurekaServerInitializerConfiguration Started Eureka Server
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] main org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 8001 (http) with context path '/register'
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] main org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration Updating port to 8001
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] main com.eureka.EurekaApp Started EurekaApp in 18.476 seconds (JVM running for 20.147)
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] RMI TCP Connection(3)-10.0.0.6 org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/register] Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] RMI TCP Connection(3)-10.0.0.6 org.springframework.web.servlet.DispatcherServlet Initializing Servlet 'dispatcherServlet'
2020-03-21 14:43:09 INFO  [wjr-eureka,,,] RMI TCP Connection(3)-10.0.0.6 org.springframework.web.servlet.DispatcherServlet Completed initialization in 11 ms
2020-03-21 14:43:23 INFO  [wjr-eureka,,,] http-nio-8001-exec-2 com.netflix.eureka.registry.AbstractInstanceRegistry Registered instance WJR-GATEWAY/DESKTOP-0NN556A:wjr-gateway:8301 with status UP (replication=false)
2020-03-21 14:43:30 INFO  [wjr-eureka,,,] http-nio-8001-exec-6 com.netflix.eureka.registry.AbstractInstanceRegistry Registered instance WJR-AUTH/DESKTOP-0NN556A:wjr-auth:8101 with status UP (replication=false)
2020-03-21 14:43:34 INFO  [wjr-eureka,,,] http-nio-8001-exec-10 com.netflix.eureka.registry.AbstractInstanceRegistry Registered instance WJR-SERVER-SYSTEM/DESKTOP-0NN556A:wjr-server-system:8201 with status UP (replication=false)
2020-03-21 14:43:36 INFO  [wjr-eureka,,,] http-nio-8001-exec-4 com.netflix.eureka.registry.AbstractInstanceRegistry Registered instance WJR-SERVER-TEST/DESKTOP-0NN556A:wjr-server-test:8202 with status UP (replication=false)
2020-03-21 14:44:09 INFO  [wjr-eureka,,,] Eureka-EvictionTimer com.netflix.eureka.registry.AbstractInstanceRegistry Running the evict task with compensationTime 0ms
